platform,music,sensitivity_x,version,sensitivity_y,level,unix_time,playthrough,ab_group,userId,domain,_doc_id,time_spent,timestamp
WebGLPlayer,0.0,17,1.2,14,4.0,1773257052.0,2,1.0,24bbaba8-dc51-4a09-b007-88a9522667a4,https://html-classic.itch.zone/html/16537285-1556842/WebGL/index.html?v=1773204363,UJC3Sq9THqFCP3F1mWub,,
WebGLPlayer,,100,1.0,100,,,1,,4ba415ef-8d1a-4f0c-9d99-af4c6cbb28d9,https://bmanske505.github.io/Escape-The-Forest/,UNuPK0Y5ZtmnbVH0NS7C,104.290543,2026-02-28 00:21:07.110000+00:00
WebGLPlayer,,100,1.0,100,,,1,,98df4f7c-2f7d-4336-8e31-98e565231e8f,https://html-classic.itch.zone/html/16537285-1538396/index.html?v=1771980144,V2d8jgEl3NabjQbTFIKT,6.895978,2026-02-25 02:43:49.099000+00:00
WebGLPlayer,,5,1.1,5,3.0,1772549604.0,1,,1f510df4-b380-4bf3-9798-b3c6f23e8d37,https://html-classic.itch.zone/html/16537285-1546101/index.html?v=1772508675,V9UllVaZDqQjVZlX4gT9,6.58699942,1772549604214
WebGLPlayer,,100,1.0,100,,,1,,98df4f7c-2f7d-4336-8e31-98e565231e8f,https://html-classic.itch.zone/html/16537285-1538396/index.html?v=1771980144,Vre4p83b8GKMTmB5vksR,27.6799278,2026-02-25 02:39:33.265000+00:00
WebGLPlayer,0.0,17,1.2,14,3.0,1773256755.0,2,1.0,24bbaba8-dc51-4a09-b007-88a9522667a4,https://html-classic.itch.zone/html/16537285-1556842/WebGL/index.html?v=1773204363,VsBcyJjtJRTBEoNuAwuu,,
WebGLPlayer,,100,1.0,100,,,1,,fb093188-7616-4e0f-8509-4279e51245ec,https://html-classic.itch.zone/html/16537285-1538396/index.html?v=1771980144,WIojxEk6S5VVRQQ1IuGl,60.621006,2026-02-25 05:50:38.655000+00:00
WebGLPlayer,,100,1.0,100,,,1,,10399faa-8e46-46d7-95ef-6e50cb706ee6,https://html-classic.itch.zone/html/16537285-1538396/index.html?v=1771980144,X9sBNT5SVQeBuZMmpKce,27.4482346,2026-02-25 05:44:37.884000+00:00
WebGLPlayer,0.0,67,1.2,66,4.0,1773274178.0,1,1.0,69e6bcf3-1aa7-418f-82e3-7256c4d066ee,https://html-classic.itch.zone/html/16537285-1556842/WebGL/index.html?v=1773204363,XAik3esf3lSDY7fXnGRg,,
WebGLPlayer,,100,1.0,100,,,1,,98df4f7c-2f7d-4336-8e31-98e565231e8f,https://html-classic.itch.zone/html/16537285-1538396/index.html?v=1771980144,XCdAIKwAmne2UXGgH0Ro,54.714817,2026-02-25 02:38:46.085000+00:00
WebGLPlayer,0.0,17,1.2,14,6.0,1773280581.0,2,1.0,24bbaba8-dc51-4a09-b007-88a9522667a4,https://html-classic.itch.zone/html/16537285-1556842/WebGL/index.html?v=1773204363,XKk8PoEbEiCLcuVHYS00,,
WebGLPlayer,,100,1.0,100,,,1,,70b5ddbc-6a25-4fe0-b987-a1478fb55fe6,https://html-classic.itch.zone/html/16537285-1538396/index.html?v=1771980144,Y2Tuj4NWbrAuMoekCHl3,105.041756,2026-02-25 04:44:46.686000+00:00
WebGLPlayer,,100,1.0,100,,,1,,28e05da8-82dd-48f0-af05-a3e93b3b09ea,https://html-classic.itch.zone/html/16537285-1538396/index.html?v=1771980144,Z1IALAdO6oAQtQ6rDzez,24.433075,2026-02-25 18:34:18.161000+00:00
WebGLPlayer,0.0,17,1.2,14,6.0,1773280181.0,2,1.0,24bbaba8-dc51-4a09-b007-88a9522667a4,https://html-classic.itch.zone/html/16537285-1556842/WebGL/index.html?v=1773204363,ZA8itNPGdoFhyMMQnTga,,
WebGLPlayer,,100,1.0,100,,,1,,c896b358-4b46-4219-9b4f-e9cd038beb70,https://html-classic.itch.zone/html/16537285-1538396/index.html?v=1771980144,ZG2v74hkpLOywp5gfWCr,55.799633,2026-02-25 01:29:03.509000+00:00
WebGLPlayer,0.0,100,1.2,100,4.0,1773358721.0,1,0.0,918a5f2b-58b5-49b5-8927-3576999fb2f9,https://html-classic.itch.zone/html/16537285-1556842/WebGL/index.html?v=1773204363,ZWPllIPbzn2ovOKehPSZ,,
WebGLPlayer,,100,1.0,100,,,1,,98df4f7c-2f7d-4336-8e31-98e565231e8f,https://html-classic.itch.zone/html/16537285-1538396/index.html?v=1771980144,ZgLEiM1Y9FyxmRf2BMka,16.9419384,2026-02-25 02:42:17.032000+00:00
WebGLPlayer,,100,1.0,100,,,1,,48d112f6-a109-4804-95d5-fd9956b1ade6,https://html-classic.itch.zone/html/16537285-1538396/index.html?v=1771980144,aN6gKqOIkd4cGzKqURdq,31.827137,2026-02-25 01:49:36.170000+00:00
WebGLPlayer,,100,1.0,100,,,1,,2b5f5563-355f-4ed4-be41-a21cfbb88aea,https://html-classic.itch.zone/html/16537285-1539301/index.html?v=1772048211,aN6kREGUlG1aRK3gHOHz,5.99699974,2026-02-26 04:06:09.671000+00:00
WebGLPlayer,,100,1.0,100,,,1,,48d112f6-a109-4804-95d5-fd9956b1ade6,https://html-classic.itch.zone/html/16537285-1538396/index.html?v=1771980144,aOGu0oq1uJY1UNKG1byU,80.61886,2026-02-25 01:48:08.305000+00:00
WebGLPlayer,,100,1.0,100,,,1,,2b5f5563-355f-4ed4-be41-a21cfbb88aea,https://html-classic.itch.zone/html/16537285-1539301/index.html?v=1772048211,aqxPBzuoAhOj7HOscIAC,176.420029,2026-02-26 03:39:18.109000+00:00
